Skills,Frequency,Type
0,1875,courses
1,2705,courses
2,1261,courses
3,452,courses
4,148,courses
5,73,courses
6,65,courses
7,46,courses
8,30,courses
9,25,courses
10,17,courses
11,10,courses
12,4,courses
13,11,courses
14,4,courses
15,2,courses
16,5,courses
17,5,courses
18,1,courses
19,1,courses
20,0,courses
0,3461,DSDEjobs
1,2015,DSDEjobs
2,1283,DSDEjobs
3,1077,DSDEjobs
4,1255,DSDEjobs
5,1727,DSDEjobs
6,1950,DSDEjobs
7,2428,DSDEjobs
8,2621,DSDEjobs
9,3190,DSDEjobs
10,3128,DSDEjobs
11,3640,DSDEjobs
12,3566,DSDEjobs
13,3548,DSDEjobs
14,3501,DSDEjobs
15,3302,DSDEjobs
16,3173,DSDEjobs
17,3140,DSDEjobs
18,2718,DSDEjobs
19,2606,DSDEjobs
20,2161,DSDEjobs
21,1980,DSDEjobs
22,1674,DSDEjobs
23,1377,DSDEjobs
24,1356,DSDEjobs
25,1141,DSDEjobs
26,1204,DSDEjobs
27,977,DSDEjobs
28,668,DSDEjobs
29,617,DSDEjobs
30,539,DSDEjobs
31,374,DSDEjobs
32,384,DSDEjobs
33,292,DSDEjobs
34,207,DSDEjobs
35,165,DSDEjobs
36,244,DSDEjobs
37,126,DSDEjobs
38,106,DSDEjobs
39,81,DSDEjobs
40,73,DSDEjobs
41,58,DSDEjobs
42,48,DSDEjobs
43,35,DSDEjobs
44,34,DSDEjobs
45,24,DSDEjobs
46,17,DSDEjobs
47,16,DSDEjobs
48,17,DSDEjobs
49,16,DSDEjobs
50,7,DSDEjobs
51,6,DSDEjobs
52,10,DSDEjobs
53,4,DSDEjobs
54,3,DSDEjobs
55,2,DSDEjobs
56,1,DSDEjobs
57,0,DSDEjobs
58,0,DSDEjobs
59,0,DSDEjobs
60,0,DSDEjobs
61,0,DSDEjobs
62,0,DSDEjobs
63,1,DSDEjobs
64,0,DSDEjobs
65,0,DSDEjobs
66,0,DSDEjobs
67,0,DSDEjobs
68,0,DSDEjobs
69,0,DSDEjobs
70,0,DSDEjobs
71,0,DSDEjobs
72,0,DSDEjobs
73,1,DSDEjobs
74,0,DSDEjobs
75,0,DSDEjobs
76,0,DSDEjobs
77,3,DSDEjobs
78,1,DSDEjobs
79,5,DSDEjobs
80,3,DSDEjobs
81,0,DSDEjobs
82,3,DSDEjobs
83,2,DSDEjobs
84,0,DSDEjobs
85,2,DSDEjobs
86,1,DSDEjobs
87,0,DSDEjobs
88,1,DSDEjobs
89,2,DSDEjobs
90,0,DSDEjobs
91,1,DSDEjobs
92,0,DSDEjobs
93,3,DSDEjobs
94,2,DSDEjobs
237,1,DSDEjobs
0,"8,175,802",pubs
1,312477,pubs
2,242006,pubs
3,167698,pubs
4,115384,pubs
5,78617,pubs
6,52515,pubs
7,33593,pubs
8,20372,pubs
9,11939,pubs
10,6632,pubs
11,3514,pubs
12,1929,pubs
13,943,pubs
14,479,pubs
15,232,pubs
16,123,pubs
17,58,pubs
18,23,pubs
19,16,pubs
20,6,pubs
21,6,pubs
22,4,pubs
23,1,pubs
24,3,pubs
25,2,pubs
26,3,pubs
0,240819,DSDEpubs
1,454316,DSDEpubs
2,228352,DSDEpubs
3,86736,DSDEpubs
4,27753,DSDEpubs
5,7786,DSDEpubs
6,2080,DSDEpubs
7,532,DSDEpubs
8,131,DSDEpubs
9,43,DSDEpubs
10,15,DSDEpubs
11,7,DSDEpubs
12,4,DSDEpubs
13,1,DSDEpubs
